LncRNA ID	Logfold	URWScore	pvalue	FDR	Rank(Logfold)	Rank(URWScore)
ENSG00000265664	3.91763197558754	0.37277383855326	0.096260162601626	0.235714285714286	290	251
ENSG00000237445	6.9803104109129	0.37249145063333	0.0965853658536585	0.235714285714286	104	252
ENSG00000263745	3.92989720283432	0.371801403341469	0.0975609756097561	0.237154150197628	289	253
ENSG00000231335	-7.78581883690269	0.37125941709816	0.0988617886178862	0.23843137254902	92	254
ENSG00000254191	3.41266620155346	0.371240444663282	0.0988617886178862	0.23843137254902	333	255
ENSG00000233854	3.17943648240116	0.370774740026141	0.100813008130081	0.2421875	353	256
ENSG00000234264	3.24977310216632	0.370281729839518	0.101788617886179	0.242471042471042	345	257
ENSG00000260402	-6.83613818331052	0.369876710565001	0.102113821138211	0.242471042471042	113	258
ENSG00000248240	3.90007094989281	0.369730021443824	0.102113821138211	0.242471042471042	294	259
ENSG00000253706	7.93396935582127	0.369023884322551	0.103089430894309	0.24367816091954	90	260
ENSG00000261760	-3.31227324580067	0.368963785805602	0.103414634146341	0.24367816091954	337	261
ENSG00000256542	6.37071038556834	0.368200189793768	0.105365853658537	0.24638783269962	128	262
ENSG00000224899	4.98361041437396	0.368104407285064	0.105365853658537	0.24638783269962	190	263
ENSG00000224034	4.1763129753297	0.367298815927052	0.106666666666667	0.246616541353383	260	264
ENSG00000233682	4.96560416615483	0.367241667744335	0.106666666666667	0.246616541353383	192	265
ENSG00000251292	4.13637827578726	0.366975181435448	0.106666666666667	0.246616541353383	265	266
ENSG00000241220	4.48014788375039	0.366720648204446	0.107317073170732	0.247191011235955	236	267
ENSG00000251003	5.98719416884902	0.365893772265785	0.108617886178862	0.24907063197026	145	268
ENSG00000258766	-3.81135651509931	0.36569973951481	0.108943089430894	0.24907063197026	300	269
ENSG00000231407	3.4873888235688	0.364685514481514	0.111869918699187	0.253676470588235	327	270
ENSG00000257042	3.93755871675126	0.364671294172672	0.111869918699187	0.253676470588235	288	271
